Algorithm N Comparison Time
std 100 634 0.000003226
bubble 100 8514 0.000024064
insertion-smart 100 529 0.000004889
insertion-dumb 100 2414 0.000006122
selection 100 4950 0.000009217
quick 100 874 0.000003146
std_unstable 100 650 0.000002585
std 100 655 0.000003055
bubble 100 8316 0.000022992
insertion-smart 100 533 0.000004979
insertion-dumb 100 2388 0.000006042
selection 100 4950 0.000009197
quick 100 936 0.000003176
std_unstable 100 781 0.000002344
std 100 637 0.000017072
bubble 100 8910 0.000024325
insertion-smart 100 539 0.000004939
insertion-dumb 100 2264 0.00000573
selection 100 4950 0.000009157
quick 100 1031 0.000003246
std_unstable 100 732 0.000002224
std 100 628 0.000002996
bubble 100 8415 0.000025577
insertion-smart 100 525 0.000004849
insertion-dumb 100 2531 0.000006321
selection 100 4950 0.000009177
quick 100 872 0.000003256
std_unstable 100 727 0.000002314
std 100 635 0.000002755
bubble 100 8910 0.000028012
insertion-smart 100 538 0.000004889
insertion-dumb 100 2545 0.000006442
selection 100 4950 0.000009107
quick 100 867 0.000003306
std_unstable 100 756 0.000002345
std 100 640 0.000002756
bubble 100 7920 0.000027171
insertion-smart 100 524 0.000004778
insertion-dumb 100 2678 0.000006732
selection 100 4950 0.000009137
quick 100 846 0.000003236
std_unstable 100 768 0.000002234
std 100 670 0.000002976
bubble 100 8811 0.000027191
insertion-smart 100 533 0.000004859
insertion-dumb 100 2778 0.000006882
selection 100 4950 0.000009187
quick 100 881 0.000003156
std_unstable 100 776 0.000002184
std 100 631 0.000002866
bubble 100 9702 0.000029845
insertion-smart 100 524 0.000004909
insertion-dumb 100 2548 0.000006352
selection 100 4950 0.000009127
quick 100 1190 0.000003496
std_unstable 100 745 0.000002354
std 100 630 0.000002866
bubble 100 9108 0.000028713
insertion-smart 100 534 0.000004829
insertion-dumb 100 2744 0.000006913
selection 100 4950 0.000009177
quick 100 926 0.000003287
std_unstable 100 723 0.000002355
std 100 669 0.000002925
bubble 1000 972027 0.002904649
insertion-smart 1000 8585 0.000114162
insertion-dumb 1000 246725 0.000605857
selection 1000 499500 0.000892709
quick 1000 15374 0.000044272
std_unstable 1000 11601 0.000029295
std 1000 9639 0.000036939
bubble 1000 970029 0.002933623
insertion-smart 1000 8583 0.000116277
insertion-dumb 1000 252075 0.00057552
selection 1000 499500 0.000883442
quick 1000 15796 0.000045364
std_unstable 1000 10694 0.000027371
std 1000 9708 0.000033903
bubble 1000 957042 0.00298506
insertion-smart 1000 8600 0.000115324
insertion-dumb 1000 247541 0.000576631
selection 1000 499500 0.000902578
quick 1000 13975 0.000045735
std_unstable 1000 10800 0.000028543
std 1000 9740 0.000034624
bubble 1000 983016 0.002944184
insertion-smart 1000 8601 0.000114823
insertion-dumb 1000 248886 0.000555512
selection 1000 499500 0.000879545
quick 1000 16584 0.000045815
std_unstable 1000 10900 0.000027772
std 1000 9766 0.000043181
bubble 1000 936063 0.002893639
insertion-smart 1000 8581 0.000137857
insertion-dumb 1000 255646 0.00057035
selection 1000 499500 0.000902698
quick 1000 14636 0.000044082
std_unstable 1000 11153 0.000028312
std 1000 9606 0.000033162
bubble 1000 953046 0.002622035
insertion-smart 1000 8588 0.000115234
insertion-dumb 1000 248912 0.000563688
selection 1000 499500 0.000889704
quick 1000 14869 0.000043481
std_unstable 1000 10893 0.000028122
std 1000 9701 0.000033292
bubble 1000 972027 0.002865788
insertion-smart 1000 8590 0.000114603
insertion-dumb 1000 248086 0.000553459
selection 1000 499500 0.000910243
quick 1000 14563 0.000044834
std_unstable 1000 10851 0.000037179
std 1000 9722 0.000033081
bubble 1000 982017 0.002949644
insertion-smart 1000 8587 0.000117439
insertion-dumb 1000 258118 0.000574679
selection 1000 499500 0.000878122
quick 1000 15723 0.000046696
std_unstable 1000 11039 0.000027902
std 1000 9667 0.000033092
bubble 1000 988011 0.002994967
insertion-smart 1000 8584 0.000146783
insertion-dumb 1000 253829 0.000566614
selection 1000 499500 0.000878313
quick 1000 15807 0.000043741
std_unstable 1000 11008 0.000028493
std 1000 9716 0.000033312
bubble 1000 967032 0.002779548
insertion-smart 1000 8598 0.000111988
insertion-dumb 1000 237063 0.000538391
selection 1000 499500 0.000877992
quick 1000 16918 0.000047028
std_unstable 1000 11016 0.000027822
std 1000 9667 0.000033392
bubble 10000 98840115 0.318203683
insertion-smart 10000 118977 0.007574481
insertion-dumb 10000 24833282 0.055464481
selection 10000 49995000 0.08857261
quick 10000 219641 0.000581181
std_unstable 10000 146895 0.000345973
std 10000 128203 0.000451148
bubble 10000 98680131 0.311734036
insertion-smart 10000 118986 0.007731523
insertion-dumb 10000 25045983 0.056103799
selection 10000 49995000 0.088121752
quick 10000 235006 0.000600246
std_unstable 10000 148635 0.000346874
std 10000 128304 0.000420552
bubble 10000 99650034 0.340268503
insertion-smart 10000 118984 0.007569452
insertion-dumb 10000 24976066 0.05551262
selection 10000 49995000 0.087842914
quick 10000 212800 0.000599525
std_unstable 10000 152794 0.000360991
std 10000 128531 0.000449345
bubble 10000 99350064 0.31560385
insertion-smart 10000 118992 0.007625415
insertion-dumb 10000 24943608 0.055736536
selection 10000 49995000 0.088256963
quick 10000 201628 0.000560231
std_unstable 10000 144548 0.00035532
std 10000 127656 0.000415683
bubble 10000 99060093 0.324707434
insertion-smart 10000 119016 0.00786976
insertion-dumb 10000 25350724 0.05706164
selection 10000 49995000 0.088021175
quick 10000 198399 0.000553689
std_unstable 10000 153206 0.000364598
std 10000 128202 0.000424359
bubble 10000 99310068 0.312167091
insertion-smart 10000 119030 0.007683775
insertion-dumb 10000 25106508 0.055783183
selection 10000 49995000 0.088941293
quick 10000 214243 0.000667231
std_unstable 10000 148700 0.000347516
std 10000 128120 0.000447793
bubble 10000 98650134 0.323808305
insertion-smart 10000 118935 0.007683434
insertion-dumb 10000 25029854 0.056009594
selection 10000 49995000 0.088159392
quick 10000 209581 0.000593182
std_unstable 10000 144453 0.000349209
std 10000 127488 0.000423347
bubble 10000 97170282 0.309700616
insertion-smart 10000 119004 0.007757071
insertion-dumb 10000 25190723 0.056648872
selection 10000 49995000 0.088459099
quick 10000 192793 0.00057052
std_unstable 10000 146535 0.000345272
std 10000 128250 0.000427795
bubble 10000 98280171 0.318155935
insertion-smart 10000 119038 0.007677283
insertion-dumb 10000 25024831 0.056564906
selection 10000 49995000 0.091143274
quick 10000 221489 0.000632937
std_unstable 10000 144662 0.000367944
std 10000 128162 0.000438766
bubble 10000 98430156 0.323916048
insertion-smart 10000 118994 0.007565985
insertion-dumb 10000 24970475 0.055769838
selection 10000 49995000 0.088430245
quick 10000 211234 0.000576933
std_unstable 10000 147062 0.000346624
std 10000 128365 0.00040896
